Date,Average Temperature (°C),Average Wind Speed (km/h),Average Wind Gusts (km/h),Wind Direction (°),Season,Precipitation,Average Relative Humidity (%),Average Sunshine Duration (hours)
2024-05-20,17.018,5.3940983,13.425,142.20132446289062,Autumn,0.0,49.94518,35643.676
2024-05-21,16.790918,6.3753147,14.6849985,132.3714599609375,Autumn,0.0,46.290726,35611.0
2024-05-22,16.293,6.5658875,15.390002,98.86001586914062,Autumn,0.0,57.996357,35578.285
2024-05-23,15.534667,5.617027,13.424999,155.4445037841797,Autumn,0.0,52.735672,35545.637
2024-05-24,15.603416,6.30174,14.655002,143.0991973876953,Autumn,0.0,50.90712,35506.977
2024-05-25,15.336751,7.988659,16.874998,169.80194091796875,Autumn,0.0,48.685028,35474.633
2024-05-26,15.603419,7.870352,17.445,165.56788635253906,Autumn,0.0,46.6187,35442.746
2024-05-22,16.293,6.5658875,15.390002,98.86001586914062,Autumn,0.0,57.996357,35578.285
2024-05-23,15.534667,5.617027,13.424999,155.4445037841797,Autumn,0.0,52.735672,35545.637
2024-05-24,15.603416,6.30174,14.655002,143.0991973876953,Autumn,0.0,50.90712,35506.977
2024-05-25,15.336751,7.988659,16.874998,169.80194091796875,Autumn,0.0,48.685028,35474.633
2024-05-26,15.603419,7.870352,17.445,165.56788635253906,Autumn,0.0,46.6187,35442.746
2024-05-27,15.184666,8.352366,18.194998,140.33853149414062,Autumn,0.0,39.52244,35411.383
2024-05-28,15.226334,5.557424,13.845,143.6730194091797,Autumn,0.0,56.015865,35380.6
2024-05-29,14.713833,5.7670865,14.024999,162.84751892089844,Autumn,0.0,51.526047,35350.46
2024-05-30,13.807584,8.290662,17.94,261.87000274658203,Autumn,0.0,54.5695,35321.03
2024-05-31,15.436749,7.8660884,17.984999,40.8970832824707,Autumn,0.0,48.531635,35292.375
2024-06-01,16.253416,9.063977,18.42,49.33833312988281,Winter,0.0,42.3281,35264.52
2024-06-02,16.626333,16.449448,34.484997,73.48922729492188,Winter,0.4,51.01679,25696.576
2024-06-03,13.6659155,18.055195,40.454998,330.9897403717041,Winter,0.1,41.977703,35209.555
2024-06-04,7.8909173,7.316698,16.44,249.12088012695312,Winter,0.0,50.01476,35182.36
2024-05-29,14.713833,5.7670865,14.024999,162.84751892089844,Autumn,0.0,51.526047,35350.46
2024-05-30,13.807584,8.290662,17.94,261.87000274658203,Autumn,0.0,54.5695,35321.03
2024-05-31,15.436749,7.8660884,17.984999,40.8970832824707,Autumn,0.0,48.531635,35292.375
2024-06-01,16.253416,9.063977,18.42,49.33833312988281,Winter,0.0,42.3281,35264.52
2024-06-02,16.626333,16.449448,34.484997,73.48922729492188,Winter,0.4,51.01679,25696.576
2024-06-03,13.6659155,18.055195,40.454998,330.9897403717041,Winter,0.1,41.977703,35209.555
2024-06-04,7.8909173,7.316698,16.44,249.12088012695312,Winter,0.0,50.01476,35182.36
2024-06-05,10.007583,7.1544304,15.959999,208.0975799560547,Winter,0.0,48.891026,35155.453
2024-06-06,13.765918,11.986827,25.634996,246.3223876953125,Winter,0.0,34.940945,35128.93
2024-06-07,10.905499,11.306222,25.169998,178.09083557128906,Winter,0.0,47.522964,35102.85
2024-06-08,11.982583,12.588275,27.045,100.62870025634766,Winter,0.0,50.46993,35077.3
